image,tier,backend,execution_providers,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source
006560.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,37,6,60.0,0.12475109100341797,68.0,2017.0,nvml
006561.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,15,7,60.0,0.12475109100341797,68.0,2055.0,nvml
006562.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,93,16,54.0,0.12475109100341797,68.0,2055.0,nvml
006563.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,25,4,54.0,0.12475109100341797,68.0,2010.0,nvml
006564.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,15,1,True,True,75,12,54.0,0.12475109100341797,68.0,2040.0,nvml
006565.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,17,5,54.0,0.12475109100341797,68.0,2017.0,nvml
006566.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,3,2,54.0,0.12475109100341797,68.0,2047.0,nvml
006567.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,1,0,False,True,49,8,59.0,0.12475109100341797,68.0,2055.0,nvml
006568.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,77,11,59.0,0.12475109100341797,68.0,1980.0,nvml
006569.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,2,0,False,True,36,8,59.0,0.12475109100341797,68.0,2055.0,nvml
006570.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,3,0,True,True,60,7,59.0,0.12475109100341797,68.0,2055.0,nvml
006571.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,9,0,False,True,50,7,59.0,0.12475109100341797,68.0,2040.0,nvml
006572.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,8,0,True,True,32,3,59.0,0.12475109100341797,68.0,1950.0,nvml
006573.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,41,0,True,True,50,1,51.0,0.12475109100341797,68.0,2010.0,nvml
006574.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,3,0,True,True,19,3,51.0,0.12475109100341797,68.0,2017.0,nvml
006575.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,78,0,True,True,81,1,51.0,0.12475109100341797,68.0,2047.0,nvml
006576.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,42,5,51.0,0.12475109100341797,68.0,2055.0,nvml
006577.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,14,4,51.0,0.12475109100341797,68.0,1972.0,nvml
006578.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,7,112,2,True,True,139,11,60.0,0.12475109100341797,68.0,1950.0,nvml
