run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
180,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,36.109,0.3847,36.2,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.008,33.571,1.532,0.973,36.355,onnx,CPUExecutionProvider,{},False,10,False,007062.png,,,,0.378659,0.456404,0.53415,12.554,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
181,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,47.983,0.3886,36.8,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.011,45.922,1.317,0.726,48.149,onnx,CPUExecutionProvider,{},False,6,False,006170.png,,,,0.505898,0.610333,0.714767,12.676,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
182,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,33.981,0.3886,36.8,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.008,31.529,1.136,1.3,34.141,onnx,CPUExecutionProvider,{},False,50,False,007386.png,,,,0.358719,0.432771,0.506823,12.676,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
183,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,33.426,0.4168,41.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.006,31.437,1.123,0.85,33.566,onnx,CPUExecutionProvider,{},False,24,False,006597.png,,,,0.37634,0.457032,0.537724,13.616,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
184,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,33.882,0.4168,41.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.022,32.015,1.109,0.742,34.047,onnx,CPUExecutionProvider,{},False,4,False,007274.png,,,,0.381737,0.463587,0.545436,13.616,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
185,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,32.98,0.4168,41.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.007,31.015,1.17,0.778,33.136,onnx,CPUExecutionProvider,{},False,19,True,007052.png,,,,0.371515,0.451173,0.530831,13.616,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
186,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,33.917,0.4066,39.8,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.007,31.895,1.089,0.915,34.046,onnx,CPUExecutionProvider,{},False,30,True,007264.png,,,,0.373045,0.451999,0.530952,13.276,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
187,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,32.617,0.4066,39.8,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.007,30.589,1.099,0.912,32.773,onnx,CPUExecutionProvider,{},False,6,False,006767.png,,,,0.359092,0.435092,0.511092,13.276,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
188,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,34.128,0.4198,42.0,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.009,31.715,1.178,1.218,34.306,onnx,CPUExecutionProvider,{},False,19,True,006881.png,,,,0.387214,0.470544,0.553874,13.716,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
189,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,38.496,0.4198,42.0,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.007,36.616,1.127,0.738,38.721,onnx,CPUExecutionProvider,{},False,7,False,006255.png,,,,0.437042,0.531094,0.625147,13.716,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
