run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
32,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,23.523,0.752,97.7,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.19,21.878,1.082,0.537,23.839,onnx,CPUExecutionProvider,{},False,0,False,007113.png,,,,0.467952,0.592151,0.667481,24.84,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
33,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.776,0.761,99.2,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.153,12.105,1.176,0.472,14.053,onnx,CPUExecutionProvider,{},False,7,False,007162.png,,,,0.279032,0.353305,0.393498,25.14,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
34,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.09,0.761,99.2,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.173,12.251,1.327,0.49,14.4,onnx,CPUExecutionProvider,{},False,10,False,007130.png,,,,0.28592,0.362026,0.403211,25.14,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
35,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.409,0.761,99.2,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.105,11.86,1.064,0.465,13.682,onnx,CPUExecutionProvider,{},False,5,False,006651.png,,,,0.271654,0.343963,0.383093,25.14,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
36,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.89,0.761,99.2,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.139,12.417,1.071,0.383,14.155,onnx,CPUExecutionProvider,{},False,0,False,006282.png,,,,0.281044,0.355852,0.396334,25.14,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
37,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.613,0.7544,98.1,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.168,12.096,1.005,0.493,13.877,onnx,CPUExecutionProvider,{},False,42,False,006034.png,,,,0.273234,0.34581,0.38855,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
38,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.449,0.7544,98.1,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.162,12.468,1.078,0.881,14.744,onnx,CPUExecutionProvider,{},False,33,True,006519.png,,,,0.290301,0.367411,0.412821,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
39,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.513,0.7544,98.1,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.148,12.934,1.064,0.492,14.78,onnx,CPUExecutionProvider,{},False,11,False,007441.png,,,,0.291014,0.368313,0.413834,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
40,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.061,0.7544,98.1,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.152,12.408,1.036,0.599,14.323,onnx,CPUExecutionProvider,{},False,26,False,006438.png,,,,0.282028,0.356939,0.401055,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
41,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,17.324,0.7658,100.0,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.162,14.358,1.129,1.819,17.646,onnx,CPUExecutionProvider,{},False,0,False,007456.png,,,,0.352489,0.446456,0.494102,25.3,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
42,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.629,0.7658,100.0,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.151,9.514,1.268,0.821,11.903,onnx,CPUExecutionProvider,{},False,28,False,006904.png,,,,0.237764,0.301148,0.333287,25.3,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
43,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.728,0.7658,100.0,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.167,9.934,1.168,0.607,12.028,onnx,CPUExecutionProvider,{},False,3,False,007445.png,,,,0.240259,0.304308,0.336784,25.3,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
44,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,19.986,0.7658,100.0,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.184,18.135,1.005,0.824,20.276,onnx,CPUExecutionProvider,{},False,45,False,006746.png,,,,0.405009,0.512978,0.567722,25.3,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
