status,simulated,backend,dataset,tier,image,n_gt,n_predictions,tp50,vru_tp,vru_gt,person_tp,person_gt,cyclist_tp,cyclist_gt
passed,False,tensorrt,kitti,MEDIUM,006380.png,3,5,2,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006381.png,6,7,5,0,1,0,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006382.png,4,8,2,0,2,0,1,0,1
passed,False,tensorrt,kitti,MEDIUM,006383.png,1,1,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006384.png,1,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006385.png,4,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006386.png,5,6,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006387.png,2,7,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006388.png,4,8,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006389.png,14,15,10,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006390.png,15,16,12,0,1,0,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006391.png,6,9,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006392.png,1,1,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006393.png,1,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006394.png,7,7,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006395.png,9,23,5,5,9,5,8,0,1
passed,False,tensorrt,kitti,MEDIUM,006396.png,14,15,5,4,11,3,7,1,4
passed,False,tensorrt,kitti,MEDIUM,006397.png,2,4,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006398.png,3,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006399.png,14,17,9,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006400.png,6,15,6,6,6,6,6,0,0
passed,False,tensorrt,kitti,MEDIUM,006401.png,14,18,8,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006402.png,5,3,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006403.png,6,9,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006404.png,10,12,8,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006405.png,3,5,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006406.png,2,4,1,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006407.png,6,8,3,0,3,0,0,0,3
passed,False,tensorrt,kitti,MEDIUM,006408.png,7,9,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006409.png,3,4,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006410.png,7,9,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006411.png,1,6,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006412.png,4,13,4,4,4,4,4,0,0
passed,False,tensorrt,kitti,MEDIUM,006413.png,4,4,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006414.png,2,7,1,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006415.png,4,3,1,0,2,0,0,0,2
passed,False,tensorrt,kitti,MEDIUM,006416.png,11,13,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006417.png,5,8,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006418.png,6,10,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006419.png,3,7,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006420.png,5,6,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006421.png,5,9,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006422.png,20,15,11,8,15,8,14,0,1
passed,False,tensorrt,kitti,MEDIUM,006423.png,9,9,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006424.png,12,18,8,6,9,6,9,0,0
passed,False,tensorrt,kitti,MEDIUM,006425.png,4,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006426.png,12,18,8,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006427.png,10,19,6,6,9,6,9,0,0
passed,False,tensorrt,kitti,MEDIUM,006428.png,6,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006429.png,10,11,9,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006430.png,5,8,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006431.png,16,15,10,2,6,2,4,0,2
passed,False,tensorrt,kitti,MEDIUM,006432.png,7,19,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006433.png,5,4,2,0,3,0,2,0,1
passed,False,tensorrt,kitti,MEDIUM,006434.png,1,9,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006435.png,2,3,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006436.png,3,3,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006437.png,4,6,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006438.png,7,17,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006439.png,4,3,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006440.png,3,4,3,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006441.png,4,6,3,2,2,2,2,0,0
passed,False,tensorrt,kitti,MEDIUM,006442.png,3,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006443.png,4,7,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006444.png,11,20,9,8,9,8,9,0,0
passed,False,tensorrt,kitti,MEDIUM,006445.png,7,9,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006446.png,2,3,1,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006447.png,6,6,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006448.png,5,12,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006449.png,9,11,5,0,2,0,1,0,1
passed,False,tensorrt,kitti,MEDIUM,006450.png,6,15,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006451.png,1,6,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006452.png,4,4,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006453.png,3,19,3,3,3,3,3,0,0
passed,False,tensorrt,kitti,MEDIUM,006454.png,4,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006455.png,1,3,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006456.png,1,2,1,0,0,0,0,0,0
