run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
22,windows-host,onnx,threshold,light,0.25,NANO,38.309,39.249,0.874,100.0,49.6,,17,False,006003.png,False
23,windows-host,onnx,threshold,light,0.25,NANO,29.613,31.188,0.874,100.0,49.6,,11,False,006004.png,False
24,windows-host,onnx,threshold,light,0.25,NANO,33.24,34.159,0.874,100.0,49.6,,25,False,006005.png,False
25,windows-host,onnx,threshold,light,0.25,NANO,28.128,29.12,0.874,100.0,49.6,,0,False,006006.png,False
26,windows-host,onnx,threshold,light,0.25,NANO,34.1,35.246,0.874,100.0,49.6,,7,False,006007.png,False
27,windows-host,onnx,threshold,light,0.25,NANO,30.939,32.026,0.8738,100.0,49.5,,14,False,006008.png,False
28,windows-host,onnx,threshold,light,0.25,NANO,32.445,34.444,0.8738,100.0,49.5,,10,False,006009.png,False
29,windows-host,onnx,threshold,light,0.25,NANO,26.692,27.566,0.8735,100.0,49.4,,1,False,006010.png,False
30,windows-host,onnx,threshold,light,0.25,NANO,36.113,37.481,0.8735,100.0,49.4,,38,False,006011.png,False
31,windows-host,onnx,threshold,light,0.25,NANO,25.698,26.547,0.8735,100.0,49.4,,8,False,006012.png,False
32,windows-host,onnx,threshold,light,0.25,NANO,35.369,36.731,0.8735,100.0,49.4,,20,True,006013.png,False
33,windows-host,onnx,threshold,light,0.25,NANO,43.521,44.451,0.8735,100.0,49.4,,19,False,006014.png,False
34,windows-host,onnx,threshold,light,0.25,NANO,36.437,37.706,0.8735,100.0,49.4,,5,False,006015.png,False
35,windows-host,onnx,threshold,light,0.25,NANO,45.218,46.483,0.8735,100.0,49.4,,14,False,006016.png,False
36,windows-host,onnx,threshold,light,0.25,NANO,58.046,59.016,0.8735,100.0,49.4,,3,False,006017.png,False
37,windows-host,onnx,threshold,light,0.25,NANO,76.501,77.288,0.8735,100.0,49.4,,13,False,006018.png,False
38,windows-host,onnx,threshold,light,0.25,NANO,39.148,39.862,0.8735,100.0,49.4,,0,False,006019.png,False
39,windows-host,onnx,threshold,light,0.25,NANO,26.165,27.167,0.8735,100.0,49.4,,10,False,006020.png,False
40,windows-host,onnx,threshold,light,0.25,NANO,50.94,52.061,0.8735,100.0,49.4,,9,False,006021.png,False
41,windows-host,onnx,threshold,light,0.25,NANO,31.505,32.392,0.8735,100.0,49.4,,18,False,006022.png,False
42,windows-host,onnx,threshold,light,0.25,NANO,35.911,36.701,0.8735,100.0,49.4,,4,True,006023.png,False
43,windows-host,onnx,threshold,light,0.25,NANO,26.523,27.529,0.8735,100.0,49.4,,10,False,006024.png,False
44,windows-host,onnx,threshold,light,0.25,NANO,16.876,17.885,0.8735,100.0,49.4,,17,False,006025.png,False
45,windows-host,onnx,threshold,light,0.25,NANO,21.195,22.087,0.869,100.0,47.6,,16,False,006026.png,False
46,windows-host,onnx,threshold,light,0.25,NANO,20.342,21.206,0.869,100.0,47.6,,10,False,006027.png,False
47,windows-host,onnx,threshold,light,0.25,NANO,22.357,23.179,0.869,100.0,47.6,,0,False,006028.png,False
48,windows-host,onnx,threshold,light,0.25,NANO,20.88,21.665,0.8385,95.9,47.7,,0,False,006029.png,False
49,windows-host,onnx,threshold,light,0.25,NANO,23.427,24.221,0.8385,95.9,47.7,,0,False,006030.png,False
50,windows-host,onnx,threshold,light,0.25,NANO,32.727,33.775,0.8547,98.2,47.3,,0,False,006031.png,False
51,windows-host,onnx,threshold,light,0.25,NANO,24.317,25.285,0.8547,98.2,47.3,,24,False,006032.png,False
52,windows-host,onnx,threshold,light,0.25,NANO,24.061,24.834,0.8547,98.2,47.3,,13,True,006033.png,False
53,windows-host,onnx,threshold,light,0.25,NANO,30.744,32.069,0.8682,100.0,47.3,,41,False,006034.png,False
54,windows-host,onnx,threshold,light,0.25,NANO,55.341,57.526,0.8682,100.0,47.3,,0,False,006035.png,False
55,windows-host,onnx,threshold,light,0.25,NANO,71.011,71.874,0.8563,98.4,47.3,,9,False,006036.png,False
56,windows-host,onnx,threshold,light,0.25,NANO,88.45,92.446,0.8685,100.0,47.4,,3,False,006037.png,False
57,windows-host,onnx,threshold,light,0.25,NANO,83.884,84.813,0.869,100.0,47.6,,0,False,006038.png,False
58,windows-host,onnx,threshold,light,0.25,NANO,50.778,51.536,0.8692,100.0,47.7,,30,False,006039.png,False
59,windows-host,onnx,threshold,light,0.25,NANO,50.387,51.46,0.8695,100.0,47.8,,21,True,006040.png,False
60,windows-host,onnx,threshold,light,0.25,NANO,40.584,41.506,0.8692,100.0,47.7,,17,False,006041.png,False
61,windows-host,onnx,threshold,light,0.25,NANO,39.965,40.618,0.8692,100.0,47.7,,1,True,006042.png,False
62,windows-host,onnx,threshold,light,0.25,NANO,53.401,54.168,0.87,100.0,48.0,,5,False,006043.png,False
63,windows-host,onnx,threshold,light,0.25,NANO,24.594,25.363,0.871,100.0,48.4,,6,False,006044.png,False
64,windows-host,onnx,threshold,light,0.25,NANO,23.022,23.848,0.871,100.0,48.4,,9,False,006045.png,False
65,windows-host,onnx,threshold,light,0.25,NANO,28.414,29.102,0.871,100.0,48.4,,9,False,006046.png,False
66,windows-host,onnx,threshold,light,0.25,NANO,21.256,22.203,0.871,100.0,48.4,,10,False,006047.png,False
67,windows-host,onnx,threshold,light,0.25,NANO,24.856,25.815,0.871,100.0,48.4,,10,False,006048.png,False
68,windows-host,onnx,threshold,light,0.25,NANO,26.441,27.102,0.8718,100.0,48.7,,4,False,006049.png,False
69,windows-host,onnx,threshold,light,0.25,NANO,25.227,26.031,0.8718,100.0,48.7,,29,False,006050.png,False
70,windows-host,onnx,threshold,light,0.25,NANO,22.147,22.779,0.8725,100.0,49.0,,0,False,006051.png,False
71,windows-host,onnx,threshold,light,0.25,NANO,51.264,52.378,0.8725,100.0,49.0,,25,False,006052.png,False
72,windows-host,onnx,threshold,light,0.25,NANO,30.236,31.213,0.8725,100.0,49.0,,0,False,006053.png,False
73,windows-host,onnx,threshold,light,0.25,NANO,27.454,28.413,0.8725,100.0,49.0,,23,False,006054.png,False
74,windows-host,onnx,threshold,light,0.25,NANO,28.238,29.306,0.872,100.0,48.8,,25,True,006055.png,False
75,windows-host,onnx,threshold,light,0.25,NANO,30.564,31.52,0.872,100.0,48.8,,18,False,006056.png,False
76,windows-host,onnx,threshold,light,0.25,NANO,29.267,30.224,0.8718,100.0,48.7,,4,False,006057.png,False
77,windows-host,onnx,threshold,light,0.25,NANO,37.433,38.632,0.8718,100.0,48.7,,1,False,006058.png,False
78,windows-host,onnx,threshold,light,0.25,NANO,49.798,50.552,0.872,100.0,48.8,,2,True,006059.png,False
79,windows-host,onnx,threshold,light,0.25,NANO,146.944,148.237,0.872,100.0,48.8,,28,False,006060.png,False
80,windows-host,onnx,threshold,light,0.25,NANO,65.338,66.362,0.872,100.0,48.8,,0,False,006061.png,False
81,windows-host,onnx,threshold,light,0.25,NANO,48.899,49.867,0.872,100.0,48.8,,10,False,006062.png,False
82,windows-host,onnx,threshold,light,0.25,NANO,23.033,24.006,0.872,100.0,48.8,,19,False,006063.png,False
83,windows-host,onnx,threshold,light,0.25,NANO,19.947,21.04,0.872,100.0,48.8,,10,False,006064.png,False
84,windows-host,onnx,threshold,light,0.25,NANO,20.346,21.071,0.8555,97.8,48.8,,0,False,006065.png,False
