run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
107,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.042,0.621,57.6,75.6,,,,,,none,0.003,23.18,0.483,0.376,24.053,onnx,CPUExecutionProvider,{},False,17,True,006473.png,,,,0.331305,0.409669,0.488034,17.032,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
108,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.711,0.5823,52.4,75.7,,,,,,none,0.003,23.934,0.343,0.428,24.723,onnx,CPUExecutionProvider,{},False,31,False,006263.png,,,,0.321284,0.395416,0.469547,15.994,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
109,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.897,0.5823,52.4,75.7,,,,,,none,0.003,24.102,0.416,0.374,24.908,onnx,CPUExecutionProvider,{},False,19,False,006996.png,,,,0.323685,0.398371,0.473056,15.994,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
110,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,23.965,0.5823,52.4,75.7,,,,,,none,0.003,23.238,0.397,0.324,23.977,onnx,CPUExecutionProvider,{},False,0,False,006384.png,,,,0.311596,0.383491,0.455387,15.994,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
111,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.615,0.8245,84.6,76.0,,,,,,none,0.003,23.869,0.368,0.373,24.626,onnx,CPUExecutionProvider,{},False,11,True,006969.png,,,,0.439088,0.552615,0.666142,22.44,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
112,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,26.029,0.8245,84.6,76.0,,,,,,none,0.004,25.208,0.408,0.405,26.045,onnx,CPUExecutionProvider,{},False,30,False,006040.png,,,,0.464374,0.58444,0.704505,22.44,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
113,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.349,0.8245,84.6,76.0,,,,,,none,0.009,23.456,0.55,0.339,24.367,onnx,CPUExecutionProvider,{},False,2,False,006747.png,,,,0.434472,0.546806,0.65914,22.44,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
114,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.239,0.7595,76.0,75.8,,,,,,none,0.003,23.495,0.357,0.383,24.25,onnx,CPUExecutionProvider,{},False,24,False,007232.png,,,,0.401027,0.502369,0.603711,20.716,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
115,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.271,0.7595,76.0,75.8,,,,,,none,0.003,23.414,0.39,0.463,24.282,onnx,CPUExecutionProvider,{},False,60,True,006539.png,,,,0.401558,0.503034,0.60451,20.716,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
116,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,130.797,0.7595,76.0,75.8,,,,,,none,0.091,129.029,0.766,0.996,130.899,onnx,CPUExecutionProvider,{},False,89,True,007156.png,,,,2.164678,2.711705,3.258733,20.716,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
