21:49:52  INFO     [RAMS] Starting resource monitor ...
21:49:52  INFO     [RAMS] Loading model tiers ...
[0;93m2026-09-08 21:49:53.006609326 [W:onnxruntime:Default, device_discovery.cc:164 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:89 ReadFileContents Failed to open file: "/sys/class/drm/card0/device/vendor"[m
21:49:53  INFO     [RAMS] YOLOv8-nano ready — ONNX (imgsz=320).
21:49:53  INFO     [RAMS] YOLOv8-small ready — ONNX (imgsz=416).
21:49:54  INFO     [RAMS] YOLOv8-medium ready — ONNX (imgsz=640).
21:49:54  INFO     [RAMS] Controller ready. Policy: safety
[safety2, conf=0.25] 1400/1500
22:02:13  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.615)
22:02:13  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.595)
22:02:13  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.620)
22:02:15  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.636)
22:02:15  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.587)
22:02:17  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.661)
22:02:18  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.685)
22:02:21  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.685)
22:02:21  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.651)
22:02:22  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.673)
22:02:22  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.673)
22:02:24  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.646)
22:02:24  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.604)
22:02:27  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.655)
22:02:27  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.631)
22:02:29  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.626)
22:02:30  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.623)
22:02:30  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
22:02:31  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.607)
22:02:32  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.681)
22:02:32  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.595)
22:02:33  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.621)
22:02:34  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.608)
22:02:34  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.612)
22:02:35  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
