run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
25,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.112,0.603,53.8,79.8,,,,,,none,0.045,17.445,0.337,0.326,18.164,onnx,CPUExecutionProvider,{},False,10,False,007415.png,,,,0.240976,0.297083,0.35319,16.356,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
26,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.319,0.603,53.8,79.8,,,,,,none,0.042,17.546,0.339,0.429,18.37,onnx,CPUExecutionProvider,{},False,28,False,006154.png,,,,0.243715,0.30046,0.357205,16.356,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
27,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.009,0.5795,50.5,80.3,,,,,,none,0.037,17.446,0.286,0.273,18.053,onnx,CPUExecutionProvider,{},False,10,False,007336.png,,,,0.23071,0.283543,0.336376,15.706,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
28,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.205,0.5795,50.5,80.3,,,,,,none,0.048,17.594,0.287,0.319,18.263,onnx,CPUExecutionProvider,{},False,0,False,006621.png,,,,0.233392,0.286839,0.340285,15.706,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
29,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.13,0.5795,50.5,80.3,,,,,,none,0.041,17.4,0.266,0.46,18.178,onnx,CPUExecutionProvider,{},False,38,True,006478.png,,,,0.232304,0.285502,0.338699,15.706,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
30,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.323,0.5795,50.5,80.3,,,,,,none,0.047,17.677,0.318,0.323,18.377,onnx,CPUExecutionProvider,{},False,12,False,006352.png,,,,0.234852,0.288632,0.342413,15.706,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
31,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.206,0.5717,49.5,80.2,,,,,,none,0.044,17.583,0.257,0.361,18.257,onnx,CPUExecutionProvider,{},False,22,False,007230.png,,,,0.230554,0.283062,0.335571,15.504,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
32,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.015,0.5717,49.5,80.2,,,,,,none,0.048,17.362,0.287,0.363,18.071,onnx,CPUExecutionProvider,{},False,0,False,007113.png,,,,0.2282,0.280171,0.332143,15.504,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
33,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.352,0.5717,49.5,80.2,,,,,,none,0.04,17.548,0.385,0.415,18.4,onnx,CPUExecutionProvider,{},False,37,False,007162.png,,,,0.232355,0.285274,0.338192,15.504,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
34,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.374,0.5717,49.5,80.2,,,,,,none,0.044,17.604,0.392,0.374,18.424,onnx,CPUExecutionProvider,{},False,23,True,007130.png,,,,0.232659,0.285647,0.338635,15.504,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
35,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.121,0.5905,52.0,80.2,,,,,,none,0.044,17.407,0.363,0.346,18.173,onnx,CPUExecutionProvider,{},False,11,False,006651.png,,,,0.236307,0.290845,0.345383,16.004,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
