image,policy,policy_label,load_profile,tier,latency_ms,pressure,load_injector,load_worker_processes,backend,execution_providers,coreml_provider_options,vru_tp,vru_fp,vru_fn,obstacle_tp,obstacle_fp,obstacle_fn,frame_sha256
006746.png,threshold,Threshold,moderate,NANO,40.207,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,5,3,50422ff583cbdf11bd0f8dd3f3c818cdeff22d5dce1db6e88f273642074fefc4
007151.png,threshold,Threshold,moderate,NANO,42.256,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,6,1,5,f806e78b52f066c72d8317db20cef8800e10ee9e3f049cda34bf09011b22ee1c
006946.png,threshold,Threshold,moderate,NANO,35.301,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,2,1,0568f4563e9417311a3bae3b73774712b26b2da5b388318a0bdcc3b6e4682ff8
006617.png,threshold,Threshold,moderate,NANO,40.553,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,1,0,0,4,e7f8541353bfb764bbf8a711a8404e755de2e27053e377ad3f7539dfe4e8c87f
006434.png,threshold,Threshold,moderate,NANO,37.833,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,0,0,0,0,6d197b35cc248df65a7d61c31e36665fa3a208626478431dc148cfb0146e5b54
007063.png,threshold,Threshold,moderate,NANO,41.233,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,2,bd9a68a5516d7a5cfb14d1a0fb7042d9a3fd4a5fa6e58ab58a35df7cc50570bc
006080.png,threshold,Threshold,moderate,SMALL,129.594,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,0,2,bbff128569abc67f95641c1cddbd91f3af41f5fc8976bfd9909eacd0e7e5928d
006280.png,threshold,Threshold,moderate,SMALL,129.462,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,1,1,0,1,2,2d64a9cd133685ce3dc1039a531392d5a80f6240bd0172efb4dd33e4b1fd9995
006829.png,threshold,Threshold,moderate,SMALL,148.779,0.6434,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,4,1,0,b20fe79e1b5e429d62071c3ae8929017d455f33bdf056a60191e2b62ae7d326d
006122.png,threshold,Threshold,moderate,NANO,43.898,0.6644,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},2,0,4,0,0,0,c5f98949544dc25f45efd9d013dfb186b2c16f507ad980b2e7dcd4dc047a42f7
007161.png,threshold,Threshold,moderate,NANO,31.117,0.6133,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,1,4,1,0,0,8d0c96e1c4053243dd00961197ef852e414338229c00b7381b5533bcb502da70
006363.png,threshold,Threshold,moderate,NANO,34.202,0.6133,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,2,4,ee9cc8a018651f254266e233393501789379529216b8c3a8321c729543f1852b
007405.png,threshold,Threshold,moderate,NANO,33.38,0.6028,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,2,422ddd9bc3c38fd91a6cd77d79cc77f50b5e7f1807fac916f8cf651f0712f7a2
007158.png,threshold,Threshold,moderate,NANO,35.113,0.6028,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,2,6e18186897bb1fdd3989e7b9545ffd1ac8cce2bb2aa9bc5390053ce806f094fb
007200.png,threshold,Threshold,moderate,NANO,40.394,0.6133,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,7,5,3,751257846d151f944fa6bf5381f804f790522d1c74df698489fd7c099d44cfe0
006533.png,threshold,Threshold,moderate,NANO,36.127,0.6133,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,3,56e7788582445d850dc537f71edc97799763e88b2f6ea33aa832305ac1e89c00
006484.png,threshold,Threshold,moderate,NANO,36.452,0.6014,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,0,0,2,fdacb85e4a21d05970eadc8e2400b5f1e9c02509788cd6e5f205eed2d33a8017
006891.png,threshold,Threshold,moderate,NANO,42.83,0.6014,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,1,2e78b17a4314a12e2fc36668a391b5d7078c891da7b5695dd67904fe16ffb0f9
006270.png,threshold,Threshold,moderate,NANO,33.255,0.6084,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,1,46d001922097073f77f8b439f36802b17659a40ca861ce6043516691ecb38266
006413.png,threshold,Threshold,moderate,NANO,32.187,0.6084,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,1,1,39259cff1e15bf28c191eb7b00c84fb0c2794910edd8b5c147645ca2033319e2
006874.png,threshold,Threshold,moderate,NANO,40.188,0.5986,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,2,2a3f7f0aa4c729617b3ea53afbe85800ae71fed6cd4d19d4776d8067ef3a7397
006368.png,threshold,Threshold,moderate,NANO,44.148,0.5986,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,2,4,491bdec88bc3472b311a82ed846d85d6787e11a7f089172d22afecaa6764bcd8
007358.png,threshold,Threshold,moderate,SMALL,133.706,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,1,1,8bad7ce4eb5d879495e3412d12ad3ba9ad1ca81c92633b638b2b9935918c4cbf
006475.png,threshold,Threshold,moderate,SMALL,145.777,0.6119,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},4,2,7,0,0,1,53b94068762e3875a189249041e6c1fbb4ec474db143f19dcffc34b183cb0946
006417.png,threshold,Threshold,moderate,SMALL,131.878,0.6888,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,1,4,1a98424c6e1d2e030a5a3d09bc5475b94af6288f5a2393a6dc8526750af89a87
006778.png,threshold,Threshold,moderate,NANO,33.706,0.6133,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,3,1,1,b38b676d5725223a5e5d8471062b7b9921d3da9dedf525474fd651938636bf93
007082.png,threshold,Threshold,moderate,NANO,31.982,0.6104,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,1,94126cf81b77555edd0b45f3e107ce8c4b89beaa13ef6f4933b8d6473cc0958b
006712.png,threshold,Threshold,moderate,NANO,35.829,0.6104,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,4,6a57dde4b4811ed526aad0bddeb087bbb9f26743c83a33977633c99adc3dffdc
006213.png,threshold,Threshold,moderate,NANO,31.432,0.6014,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,2,0,0,13,36de8f18771b6d26c1757e4b38264a6fb381921fa368b7cbd6ed1d5067f1022f
006675.png,threshold,Threshold,moderate,NANO,36.446,0.6014,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,2,8c6ab0fa3385ab25688a57a5887d8683f63514f781fc8dce643ed357c3d8c25d
007411.png,threshold,Threshold,moderate,SMALL,192.286,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,3,0,468ad5c920972175810184f602a3b9d4ccbf6c92a526dc6bb0a0e34216620e4a
006249.png,threshold,Threshold,moderate,SMALL,194.222,0.6604,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,1,2,1778f51a5b8fef5d2d9e34295dd8639c87032b1f13e750d20c909d759217d4ef
006221.png,threshold,Threshold,moderate,SMALL,207.848,0.6891,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,3,2,0,1,ced10c1bb945cc7a176eeb0be0ab3dacd62c24129a5d8388bb249d888fc02cf8
006386.png,threshold,Threshold,moderate,NANO,33.195,0.7433,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,5,e3835a110772bd272b18d6598cd48472497d1032a7eb4da705e77a704f29e315
006566.png,threshold,Threshold,moderate,NANO,55.84,0.7433,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,1,e876051807d68bd900e3065330ffda3e4c2ec6849b463c8b230a9ad76c5ec8ba
006500.png,threshold,Threshold,moderate,NANO,40.146,0.6432,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,1,3,0252ebb23b9d44f2ce287edc33bbefbd6b8c6339a802ec2fc0d72f615146085a
007229.png,threshold,Threshold,moderate,NANO,54.563,0.6613,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,0,2,ed3170bd849805d805f48693b2ea792331b7d607664cfadded8813be1c3c2c5d
007099.png,threshold,Threshold,moderate,NANO,35.136,0.6613,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,6,2,8,7de3e8cc588a545809c9368c2ec09558060a6afd848bc00b3016eb74e3f8c5a6
